#5242
21
#inobs
74 263 771 550 192  44   7   4   6  14 114 186 170 110 134  82 457 523 588 647 306
#YEAR RIVER l1 l2 dt dl
1992 2 306 307 487 0.75
1992 2 343 335 391 -7.47
1992 2 187 261 440 61.43
1992 2 264 273 386 8.52
1992 2 186 280 541 63.46
1992 1 415 414 702 -0.52
1992 2 286 296 409 8.93
1992 2 325 330 448 4.08
1992 2 277 285 449 6.51
1992 2 249 278 393 26.95
1992 2 352 371 509 13.63
1992 2 184 225 413 36.26
1992 2 290 337 443 38.75
1992 2 275 305 574 19.09
1992 2 270 322 462 41.11
1992 2 316 325 370 8.88
1992 2 269 320 550 33.87
1992 2 343 351 520 5.62
1992 2 371 380 421 7.81
1992 2 361 376 549 9.98
1992 1 393 395 611 1.2
1992 2 362 355 368 -6.95
1992 1 275 320 662 24.83
1992 1 382 405 395 21.27
1992 2 173 217 389 41.31
1992 2 305 315 390 9.37
1992 2 351 358 473 5.41
1992 2 353 366 473 10.04
1992 2 245 276 478 23.69
1992 2 216 285 510 49.42
1992 2 163 210 424 40.49
1992 2 337 344 575 4.45
1992 2 358 370 370 11.85
1992 2 340 364 665 13.18
1992 2 234 300 518 46.54
1992 2 284 292 499 5.86
1992 2 242 265 434 19.36
1992 2 241 290 474 37.76
1992 2 164 227 569 40.44
1992 2 289 197 416 -80.78
1992 2 237 302 518 45.83
1992 2 202 265 583 39.47
1992 2 214 247 417 28.9
1992 2 253 262 445 7.39
1992 2 312 354 369 41.57
1992 2 354 364 413 8.84
1992 2 178 203 454 20.11
1992 2 223 240 421 14.75
1992 2 172 253 484 61.13
1992 2 184 246 419 54.05
1992 2 160 214 407 48.46
1992 2 202 242 386 37.85
1992 2 255 301 417 40.29
1992 2 238 279 391 38.3
1992 2 219 300 430 68.8
1992 2 243 291 470 37.3
1992 1 360 360 432 0
1992 1 336 345 616 5.34
1992 2 216 254 368 37.72
1992 2 187 235 450 38.96
1992 2 312 321 475 6.92
1992 2 290 315 414 22.06
1992 2 152 222 486 52.61
1992 2 385 386 487 0.75
1992 2 398 402 421 3.47
1992 2 166 182 387 15.1
1992 2 415 419 463 3.16
1992 2 346 349 489 2.24
1992 2 357 350 551 -4.64
1992 2 374 372 374 -1.95
1992 2 382 385 618 1.77
1992 2 376 379 438 2.5
1992 2 380 380 581 0
1992 2 391 400 554 5.93
1992 2 394 365 522 -20.29
1992 2 397 396 704 -0.52
1992 2 398 402 699 2.09
1992 2 360 360 553 0
1992 2 313 334 487 15.75
1992 2 410 412 424 1.72
1992 2 358 355 523 -2.1
1992 2 327 337 463 7.89
1992 2 316 361 422 38.95
1992 2 169 222 577 33.55
1992 1 372 379 419 6.1
1992 2 320 343 485 17.32
1992 2 379 385 647 3.39
1992 2 304 310 575 3.81
1992 2 396 392 515 -2.84
1992 2 379 385 456 4.81
1992 2 387 393 419 5.23
1992 2 359 364 420 4.35
1992 2 226 254 580 17.63
1992 2 267 296 693 15.28
1992 2 388 397 700 4.7
1992 1 152 151 487 -0.75
1992 1 336 345 413 7.96
1992 2 330 338 429 6.81
1992 2 395 398 433 2.53
1992 2 404 404 458 0
1992 2 334 337 433 2.53
1992 2 392 395 391 2.8
1992 2 410 417 519 4.93
1992 2 215 235 520 14.05
1992 2 305 328 518 16.22
